Edad,Género,Lugar de nacimiento,# De hermanos,Deportes practicados,# De creditos cursando,Calidad de sueño,Nivel de estrés,Tipo de vivienda,# De estrato,Expectativa de ingresos,Género Musical Preferido
20,Masculino,Cali,1,5,20,Buena,Medio,Casa,3,6.000.000,Baladas
20,Masculino,Medellín,3,2,20,Regular,Bajo,Apto,4,8.000.000,Regueton
19,Femenino,Cali,1,0,19,Mala,Alto,Apto,4,4.500.000,Pop
21,Masculino,Cali,2,6,20,Buena,Bajo,Casa,5,4.000.000,Salsa
20,Masculino,Yaguara,1,3,19,Regular,Bajo,Apto,2,500.000,Pop
20,Masculino,Cali,2,4,19,Buena,Alto,Casa,3,4.500.000,Dubstep
20,Femenino,Cali,2,5,19,Buena,Medio,Casa,3,6.000.000,Pop
20,Femenino,Cali,3,0,20,Buena,Medio,Apto,4,6.000.000,Pop
36,Masculino,Cali,2,0,0,Buena,Bajo,Apto,5,24.000.000,Salsa
20,Masculino,Cali,2,0,19,Mala,Alto,Casa/Apartamento ,4,?,Rock 
21,Masculino ,Cali,4,0,20,Regular,Medio,Casa,4,?,"Pop latino, Rock en Español "
23,Femenino,Bogotá,0,3,15,Mala,Bajo,Finca,2,1.000.000,Baladas
23,Femenino,Medellín,1,4,20,Regular,Alto,Casa,5,7.000.000,Pop latino y Regueton
21,masculino,Cali,4,2,20,Regular,Medio,Casa,3,10.000.000,"chill house, pop"
20,Femenino,Cali,1,0,18,Mala,Alto,Casa,5,?,"Rock, Nu Metal, J-Rock"
21,Femenino,Cali,0,0,20,Regular,Alto,Casa,3,8.000.000,Pop
21,Femenino,Bogotá,3,0,18,Buena,Bajo,Apto,4,4.000.000,Bossa nova
18,Masculino,Cartagena,1,1,20,Buena,Bajo,Apto,4,10.000.000,Trap Argentino
